STUDY,Treatment,Samples,compounds,mantel_c_e,mantel_c_s,mantel_e_s,AvgCHEMdist,AvgENZdist,RDA[AB] adj R2,RDA[bc],RDA[ABC],rda[a],rda[b],rda[c],mantel_informed,p_informed
16_B,CONTROL,6,17,0.5212278,0.297907,0.04877842,0.3240813,0.3017385,0.02462,0.15557,0.16219,0.00663,0.018,0.13757,,
16_C,CONTROL,6,17,0.4756797,0.08537208,0.1602602,0.3051354,0.2779956,0.07274,0.05616,0.08098,0.02483,0.04791,0.00825,,
18_1,CONTROL,21,12,0.6848141,-0.08078538,0.102436,0.3564802,0.2615385,0.04539,0.06015,0.05814,-0.002,0.0474,0.01275,,
18_2,CONTROL,5,11,0.5601597,0.3057747,0.1296644,0.3699906,0.3876543,0.05223,0.16575,0.16006,-0.00569,0.05792,0.10783,,
7,HORMONE,5,5,0.1533943,-0.3803189,0.1338126,0.4723621,0.4484848,0.22524,0.08468,0.19633,0.11164,0.1136,-0.02891,,
7,HORMONE,5,5,0.1533943,0.3680902,0.74966,0.4723621,0.4484848,0.69745,0.3923,0.72923,0.33693,0.36052,0.03178,,
7,HORMONE,5,5,0.1533943,-0.3347023,-0.09715557,0.4723621,0.4484848,0.00545,-0.01777,-0.03788,-0.02012,0.02556,-0.04333,,
13,HORMONE,9,39,0.5548666,0.06470022,0.0397984,0.2575308,0.1784564,0.01351,0.03509,0.03456,-0.00054,0.01405,0.02104,,
13,HORMONE,9,49,0.5196232,0.06428532,0.163718,0.2531369,0.1694319,0.0477,0.02164,0.04834,0.0267,0.021,0.00064,,
19,HORMONE,4,4,0.4666761,0.3303012,0.7029967,0.5515038,0.5555556,0.64177,0.35884,0.61544,0.2566,0.38517,-0.02633,,
19,HORMONE,4,7,0.4756785,0.03429564,0.1907001,0.4419621,0.3692308,0.09804,0.07738,0.09589,0.01851,0.07953,-0.00215,,
19,HORMONE,3,6,0.4453089,-0.4122025,-0.408733,0.4669436,0.4342857,-0.0055,-0.0287,-0.02754,0.00116,-0.00666,-0.02204,,
19,HORMONE,4,7,0.4756785,0.1443895,-0.1348802,0.4419621,0.3692308,-0.01576,0.12635,0.14884,0.02249,-0.03825,0.1646,,
19,HORMONE,4,7,0.4756785,0.2870338,0.3622837,0.4419621,0.3692308,0.22586,0.23631,0.27708,0.04077,0.18508,0.05123,,
19,HORMONE,4,7,0.4756785,-0.118854,-0.2481153,0.4419621,0.3692308,-0.00864,-0.01521,0.00425,0.01946,-0.0281,0.01289,,
19,HORMONE,4,7,0.4756785,0.3794481,0.3751265,0.4419621,0.3692308,0.18779,0.20367,0.23238,0.0287,0.15909,0.04458,,
19,HORMONE,4,7,0.4756785,0.5170189,0.8837603,0.4419621,0.3692308,0.81584,0.38878,0.82302,0.43423,0.38161,0.00717,,
19,HORMONE,4,7,0.4756785,0.06823628,0.4181264,0.4419621,0.3692308,0.27222,0.10962,0.25804,0.14842,0.1238,-0.01418,,
19,HORMONE,8,7,0.4756785,-0.2661517,-0.04137567,0.4419621,0.3692308,0.00951,-0.00001,-0.00956,-0.00955,0.01906,-0.01907,,
19,HORMONE,4,7,0.4756785,0.1508012,-0.1144318,0.4419621,0.3692308,-0.01349,0.1268,0.14256,0.01576,-0.02925,0.15605,,
19,HORMONE,4,7,0.4756785,-0.2972025,-0.2723297,0.4419621,0.3692308,-0.01904,-0.01603,-0.02455,-0.00852,-0.01052,-0.0055,,
19,HORMONE,4,7,0.4756785,0.3411584,0.1760127,0.4419621,0.3692308,0.08657,0.24334,0.22726,-0.01608,0.10266,0.14069,,
23,HORMONE,5,8,0.8049457,0.01880943,0.02933629,3.87E-01,0.4041868,0.04382,0.11107,0.10427,-0.00681,0.05062,0.06045,,
11_HERB,HORMONE,12,11,0.8155265,0.03521001,0.08628961,0.3418533,0.2986014,0.10351,0.07084,0.09627,0.02544,0.07807,-0.00723,,
