SAMPLEID,31244,240,7150,4133,998,6054,5281516,5362889,5352557,798
157,2.59,308.33,152.41,75.28,51.85,2.69,1389.63,60.19,49.17,70.46
158,1.39,459.44,170,49.44,74.44,4.03,1123.19,47.5,159.58,81.11
159,1.43,295.12,104.4,162.98,31.19,2.74,1676.67,50,64.05,72.86
160,1.35,236.25,155.94,86.15,49.06,3.02,1290.42,38.23,47.08,159.06
161,25.97,573.75,64.31,9.86,62.78,2.92,1062.36,62.36,52.78,178.75
162,7,302.5,56.83,10.17,107.83,5.5,747.17,34.33,55.33,100.67
163,3.89,133.47,52.92,9.17,48.47,3.19,543.75,30.83,87.92,48.89
164,10.69,239.44,23.89,3.33,176.67,5.69,752.36,31.53,64.31,128.06
165,2.78,377.78,86.94,9.58,28.19,5.56,422.5,22.22,78.89,120.83
166,8.61,180.83,38.61,27.04,29.17,2.13,416.48,15.46,98.24,195.93
167,5.65,271.94,86.48,8.89,39.91,4.07,941.67,40.93,66.48,88.43
168,1.67,688.23,101.77,17.4,81.46,2.5,881.56,33.44,98.54,61.35
169,1.35,198.54,17.92,10.63,47.08,2.29,480.31,24.27,112.5,131.67
170,7.74,544.76,12.02,4.76,41.19,2.98,749.17,27.98,169.29,85.6
171,3.5,165.08,39,7.42,35.83,2.33,836.92,33.92,360.58,10.92
172,11.15,331.77,116.98,36.35,30.1,4.17,861.88,46.98,86.98,157.71
173,11.81,313.89,61.25,19.31,48.19,3.75,1682.5,72.64,71.11,314.17
174,3.1,220.95,104.4,16.79,31.07,2.26,654.4,46.9,102.26,76.67
175,14.29,496.07,63.57,25.36,122.02,6.55,735.6,55.6,139.76,290.95
176,2.88,137.2,58.18,8.79,17.2,0.98,90.53,4.62,139.39,36.82
177,14.86,270.97,61.67,20.42,83.33,10,2171.25,91.94,172.92,425.69
178,8.75,330.63,104.79,20.52,33.13,2.19,1881.15,77.29,95.52,131.04
179,10.42,444.31,75,35.14,93.89,3.89,1075.56,45.69,101.94,281.25
180,15.12,370.71,23.1,5.12,84.4,7.26,2686.9,112.98,140.24,367.14
181,2.92,507.92,63.13,20,127.08,6.25,998.33,33.33,147.08,146.46
182,2.33,414.17,38.33,6.33,49.17,2,225.5,10.67,36.83,43.5
183,17.64,556.67,41.53,25.83,301.94,15.97,327.64,19.17,114.58,319.03
184,9.17,500.69,27.36,11.94,180.97,8.89,479.86,18.75,78.75,163.47
185,4.58,228.19,33.61,7.36,33.89,2.22,201.53,12.36,92.78,18.33
186,1.53,189.72,88.89,7.64,34.86,3.89,1016.53,70,123.89,31.53
187,0.97,259.03,66.39,19.58,71.67,5.14,377.64,18.06,115.28,44.17
188,1.55,221.43,22.02,5.36,34.4,2.38,529.17,25.24,79.05,76.67
189,2.83,393,32,7.33,44.17,3.33,458.83,23.17,96.17,54
190,0.6,224.76,44.64,29.05,39.17,2.38,637.38,21.67,27.74,23.21
191,3.96,417.29,18.96,20.42,48.96,3.54,328.13,13.33,63.54,15.21
192,3.13,491.67,65.63,12.92,43.13,4.17,621.67,22.92,84.79,176.67
193,1.56,146.88,27.6,7.19,32.6,1.56,542.4,22.6,43.96,19.38
194,13.96,209.27,43.54,5.73,58.23,3.44,542.19,17.08,67.29,201.98
195,15.73,451.77,30.42,8.96,357.4,23.75,739.17,36.35,111.98,234.79
196,8.13,465.63,8.13,6.67,57.29,4.17,220.63,11.67,163.75,159.17
197,4.33,157.5,12.92,3.08,20.33,2.08,595,33.92,55.75,71.92
198,2.83,1104,76.33,12.33,53,2.17,330.83,13.83,52.5,47.67
199,9.17,1720.56,96.67,17.78,79.72,9.17,349.17,13.06,256.39,71.67
200,5.63,358.54,75.42,12.08,48.54,3.96,718.96,38.75,69.79,61.67
