"","Dataset","Treatment","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"58","Samples_019","CONTROL","EC","0.788708936060649","0.0014","greater","6.00772991777575","0.000246643893603006","0.017224279162514"
"59","Samples_019","CONTROL","CS","0.251666250329991","0.0553","greater","1.81099369892289","-0.000561880593279613","0.0193978307103845"
"60","Samples_019","CONTROL","ES","0.272286666081571","0.0419","greater","2.08625085132515","0.00025238316512342","0.0170025564111276"
"61","Samples_020","CONTROL","EC","0.510940263204476","0.0081","greater","2.80294849849633","0.000318266358280282","0.0331870617267554"
"62","Samples_020","CONTROL","CS","0.209754309564116","0.2988","greater","0.845725144286029","0.000478618839208657","0.0612320898866064"
"63","Samples_020","CONTROL","ES","0.0414845251021203","0.3762","greater","0.277535207309734","0.000193241952579392","0.0221350541868952"
"64","Samples_022","CONTROL","EC","0.623983519552616","1e-04","greater","14.8891150527151","0.000662190085186274","0.00175261371077762"
"65","Samples_022","CONTROL","CS","0.27254497020647","1e-04","greater","5.63263494659819","0.00022979596069282","0.00233733237057319"
"66","Samples_022","CONTROL","ES","0.364661972224172","1e-04","greater","8.154355573362","0.000327068672707384","0.00199628373250436"
"67","Samples_023","CONTROL","EC","0.503737703626795","1e-04","greater","7.07851088735228","0.000220925502237619","0.00505992505701787"
"68","Samples_023","CONTROL","CS","0.0272040282848134","0.3619","greater","0.301042650151018","-0.000609237321970245","0.0085358723008392"
"69","Samples_023","CONTROL","ES","0.146787078008197","0.0428","greater","1.87469605750904","0.000678358552612266","0.0060742202712057"
"70","Samples_024","CONTROL","EC","0.631500870709433","1e-04","greater","5.08207278333658","0.000810297133726577","0.0154010708546718"
"71","Samples_024","CONTROL","CS","0.252283183655081","0.0295","greater","2.06086544348118","-0.00115379580241184","0.0151230954637078"
"72","Samples_024","CONTROL","ES","0.140715427053756","0.1023","greater","1.3453736005672","0.00172986013046119","0.0106721913326657"
"73","Samples_025","CONTROL","EC","0.64114160318296","1e-04","greater","6.65787970910098","-0.00105305248961996","0.00930382398392205"
"74","Samples_025","CONTROL","CS","0.288163297382115","0.0126","greater","2.38316867692629","-0.000781628024606795","0.0147001098092503"
"75","Samples_025","CONTROL","ES","0.30679021065761","0.0046","greater","3.25894321531135","0.00101466855485702","0.00880342975146878"
"76","Samples_STUDY001","BIOTIC","EC","0.939916728995525","0.0052","greater","4.85451959651512","-0.00153451570509789","0.0376099841832313"
"77","Samples_STUDY001","BIOTIC","CS","-0.0206701099677314","0.4966","greater","-0.0898515902087589","-0.00406626705581284","0.0341480333044741"
"78","Samples_STUDY001","BIOTIC","ES","0.0188910533965362","0.3946","greater","0.11971624005562","0.000107410144737514","0.0246180429899692"
"79","Samples_002","BIOTIC","EC","0.498981161527363","0.0144","greater","3.30535705201435","0.00177118632063931","0.0226278299561025"
"80","Samples_002","BIOTIC","CS","0.242759689483027","0.0617","greater","1.64842801753723","-0.00474118441190779","0.0225430927880195"
"81","Samples_002","BIOTIC","ES","0.108807989896147","0.2052","greater","0.744886874762857","-0.0007773250804626","0.02164332977379"
