"","Dataset","Comparisons","MantelR","SimPval","HypothesisTest","Std.obs","Expectation","Variance"
"48","Samples_014_C","ES","0.194563606708243","0.0559","greater","1.82336200006407","0.00020284484364039","0.0113624343329463"
"49","Samples_014B","EC","0.621153728615559","1e-04","greater","7.16271143603623","9.00006455481067e-05","0.00751826140037326"
"50","Samples_014B","CS","-0.0493987928451408","0.6068","greater","-0.379880014242287","0.00042695314058443","0.0172034174572267"
"51","Samples_014B","ES","0.00693845318862223","0.4155","greater","0.0938568755402578","-0.00138083995663138","0.00785670904205418"
"52","Samples_015","EC","0.141230807269485","0.2325","greater","0.765880895197931","0.00136852134649937","0.0333486894684629"
"53","Samples_015","CS","0.0423649035788804","0.4062","greater","0.164472481769095","0.00204859153850533","0.0600862505624947"
"54","Samples_015","ES","0.432999089580829","0.0163","greater","2.45035776567228","-0.00483112514460983","0.0319265845703753"
"55","Samples_016_1","EC","0.88957483204371","6e-04","greater","4.2773224177546","-0.00183907993914719","0.0434325011209028"
"56","Samples_016_1","CS","0.0721157705265998","0.3184","greater","0.347306605076884","0.00172290044687385","0.0410800780347288"
"57","Samples_016_1","ES","0.217897863805908","0.1761","greater","1.01264981690181","-0.00105467258154667","0.0467499751085942"
"58","Samples_016_2","EC","0.776200581747438","1e-04","greater","6.81323132098647","-0.00141346188544035","0.0130263253820833"
"59","Samples_016_2","CS","0.268434409033465","0.0307","greater","2.42268213806494","-0.00116290928988686","0.0123833532316264"
"60","Samples_016_2","ES","0.347423255602528","0.0151","greater","3.07654094707982","-0.000430041403937899","0.0127840025522699"
"61","Samples_017","EC","0.753006694106192","4e-04","greater","2.84571494549218","-0.0027704755295446","0.0705350125366534"
"62","Samples_017","CS","-0.15693422230033","0.7286","greater","-0.66488841520354","0.00491955452218962","0.0592581575113164"
"63","Samples_017","ES","-0.313521528909726","0.9644","greater","-1.42193429723447","0.00194175094625602","0.0492196554861936"
"64","Samples_018","EC","0.372477766865214","0.0041","greater","3.33446239290271","0.00102176358126283","0.0124097523802364"
"65","Samples_018","CS","-0.0929751274413324","0.7258","greater","-0.666566280971082","0.00169570011779731","0.0201718470164511"
"66","Samples_018","ES","0.0292581712740644","0.3507","greater","0.260277920758505","5.19495244601374e-05","0.0125914602613363"
"67","Samples_019","EC","0.808354403135999","9e-04","greater","7.0039385572152","-0.00168729123006798","0.0133761180129068"
"68","Samples_019","CS","0.10500138207796","0.2243","greater","0.680510121407688","0.00170294147328372","0.0230419034742731"
"69","Samples_019","ES","0.0173085005508509","0.3302","greater","0.17049517498297","0.00053603820003127","0.00967764006170204"
"70","Samples_020","EC","0.516021292798145","0.0012","greater","3.26976243453029","-0.000178087105350892","0.0249231285176998"
"71","Samples_020","CS","0.315650936686839","0.0808","greater","1.63274079676245","8.65562443969904e-05","0.0373543740308833"
"72","Samples_020","ES","0.155665042647084","0.1678","greater","1.00892079292431","0.00208113079305743","0.0231727355311047"
"73","Samples_021","EC","0.951717763506176","0.0132","greater","4.00021183172694","0.00100593530013622","0.056484828470385"
"74","Samples_021","CS","-0.00745163594356552","0.5133","greater","-0.0321563839965537","-0.00198205101261551","0.028931725001776"
"75","Samples_021","ES","-0.00670083791851305","0.5286","greater","-0.0517644792161566","0.00235556260482014","0.0306088874243126"
"76","Samples_022","EC","0.623983519552616","1e-04","greater","15.1216938560221","-0.000349290672230616","0.00170463513173426"
"77","Samples_022","CS","0.27254497020647","1e-04","greater","5.68111404854391","-0.000399604505147652","0.00230824507144918"
"78","Samples_022","ES","0.364661972224172","1e-04","greater","8.33107347545066","1.80677862802354e-05","0.00191573743919048"
"79","Samples_023","EC","0.503737703626795","1e-04","greater","7.13247377740786","-0.00108711912682192","0.00500957676121288"
"80","Samples_023","CS","0.0758886995559581","0.2075","greater","0.799875608944773","-0.00015271995621562","0.00903765010331033"
"81","Samples_023","ES","0.195279529659527","0.0126","greater","2.4659053474429","-0.00126021574251362","0.00635254826600363"
"82","Samples_024","EC","0.631500870709433","1e-04","greater","5.1466830993605","-0.000901323648414201","0.0150984331546749"
"83","Samples_024","CS","0.270282316850901","0.0339","greater","1.97173769207107","0.00166955208841505","0.018559019017202"
"84","Samples_024","ES","0.212237730071924","0.0437","greater","1.90191428767292","0.000175843334720608","0.0124320675195509"
"85","Samples_025","EC","0.64114160318296","1e-04","greater","6.65907152094219","0.0023277261295664","0.00920282841625688"
"86","Samples_025","CS","0.23484652598885","0.0179","greater","2.31531915013664","-0.0012159535409339","0.0103951844867991"
"87","Samples_025","ES","0.29976937278712","0.0023","greater","3.69770533545205","-0.0005122604085022","0.00659466803414783"
