"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy","TREATMENT"
"[d] = Residuals11",NA,NA,0.957090769986201,FALSE,"Residuals","NA","Samples_013","CONTROL"
"[a+b] = X112",1,0.000177516962405727,-0.00580944401386718,TRUE,"[E|C+E:C]","0.860713928607139","Samples_014_A","CONTROL"
"[b+c] = X212",1,0.00497557109752403,-0.000982659015664522,TRUE,"[E:C+C|E]","0.366163383661634","Samples_014_A","CONTROL"
"[a+b+c] = X1+X212",2,0.00931410141505537,-0.00262187326669094,TRUE,"[E|C+E:C+C|E]","0.457854214578542","Samples_014_A","CONTROL"
"[a] = X1|X212",1,NA,-0.00163921425102642,TRUE,"[E|C]","0.386661333866613","Samples_014_A","CONTROL"
"[b]12",0,NA,-0.00417022976284076,FALSE,"[E:C]","NA","Samples_014_A","CONTROL"
"[c] = X2|X112",1,NA,0.00318757074717624,TRUE,"[C|E]","0.219178082191781","Samples_014_A","CONTROL"
"[d] = Residuals12",NA,NA,1.00262187326669,FALSE,"Residuals","NA","Samples_014_A","CONTROL"
"[a+b] = X113",1,0.0344967759411439,0.0311326532092314,TRUE,"[E|C+E:C]","0.0015998400159984","Samples_014_B","CONTROL"
"[b+c] = X213",1,0.137149751440517,0.134143304581425,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_014_B","CONTROL"
"[a+b+c] = X1+X213",2,0.144343980910835,0.138360372385736,TRUE,"[E|C+E:C+C|E]","9.99900009999e-05","Samples_014_B","CONTROL"
"[a] = X1|X213",1,NA,0.0042170678043113,TRUE,"[E|C]","0.122687731226877","Samples_014_B","CONTROL"
"[b]13",0,NA,0.0269155854049201,FALSE,"[E:C]","NA","Samples_014_B","CONTROL"
"[c] = X2|X113",1,NA,0.107227719176505,TRUE,"[C|E]","9.99900009999e-05","Samples_014_B","CONTROL"
"[d] = Residuals13",NA,NA,0.861639627614264,FALSE,"Residuals","NA","Samples_014_B","CONTROL"
"[a+b] = X114",1,0.0527778998574789,0.0494774744214421,TRUE,"[E|C+E:C]","0.0004999500049995","Samples_014_C","CONTROL"
"[b+c] = X214",1,0.0134947496774264,0.0100574491536546,TRUE,"[E:C+C|E]","0.0464953504649535","Samples_014_C","CONTROL"
"[a+b+c] = X1+X214",2,0.0547291921664796,0.0481189067970145,TRUE,"[E|C+E:C+C|E]","0.0005999400059994","Samples_014_C","CONTROL"
"[a] = X1|X214",1,NA,0.0380614576433599,TRUE,"[E|C]","0.0004999500049995","Samples_014_C","CONTROL"
"[b]14",0,NA,0.0114160167780822,FALSE,"[E:C]","NA","Samples_014_C","CONTROL"
"[c] = X2|X114",1,NA,-0.00135856762442765,TRUE,"[C|E]","0.447755224477552","Samples_014_C","CONTROL"
"[d] = Residuals14",NA,NA,0.951881093202986,FALSE,"Residuals","NA","Samples_014_C","CONTROL"
"[a+b] = X115",1,0.10824413614457,0.100750389389483,TRUE,"[E|C+E:C]","0.0001999800019998","Samples_015","CONTROL"
"[b+c] = X215",1,0.0283798410669182,0.0202149657817662,TRUE,"[E:C+C|E]","0.0652934706529347","Samples_015","CONTROL"
"[a+b+c] = X1+X215",2,0.113703204712683,0.0986812251315425,TRUE,"[E|C+E:C+C|E]","0.0012998700129987","Samples_015","CONTROL"
"[a] = X1|X215",1,NA,0.0784662593497764,TRUE,"[E|C]","0.0006999300069993","Samples_015","CONTROL"
"[b]15",0,NA,0.0222841300397062,FALSE,"[E:C]","NA","Samples_015","CONTROL"
"[c] = X2|X115",1,NA,-0.00206916425794001,TRUE,"[C|E]","0.398060193980602","Samples_015","CONTROL"
"[d] = Residuals15",NA,NA,0.901318774868457,FALSE,"Residuals","NA","Samples_015","CONTROL"
"[a+b] = X116",1,0.0588713191995053,0.0509626748230305,TRUE,"[E|C+E:C]","0.006999300069993","Samples_016_2","CONTROL"
"[b+c] = X216",1,0.115448023797437,0.108014813913382,TRUE,"[E:C+C|E]","9.99900009999e-05","Samples_016_2","CONTROL"
"[a+b+c] = X1+X216",2,0.118344639108632,0.103401327907084,TRUE,"[E|C+E:C+C|E]","0.0008999100089991","Samples_016_2","CONTROL"
"[a] = X1|X216",1,NA,-0.00461348600629841,TRUE,"[E|C]","0.538446155384462","Samples_016_2","CONTROL"
"[b]16",0,NA,0.0555761608293289,FALSE,"[E:C]","NA","Samples_016_2","CONTROL"
"[c] = X2|X116",1,NA,0.0524386530840532,TRUE,"[C|E]","0.0046995300469953","Samples_016_2","CONTROL"
"[d] = Residuals16",NA,NA,0.896598672092916,FALSE,"Residuals","NA","Samples_016_2","CONTROL"
"[a+b] = X117",1,0.0364302229363964,0.0208887749192416,TRUE,"[E|C+E:C]","0.131586841315868","Samples_017","CONTROL"
"[b+c] = X217",1,0.10918251313794,0.0948144891562943,TRUE,"[E:C+C|E]","0.0070992900709929","Samples_017","CONTROL"
"[a+b+c] = X1+X217",2,0.126388457202858,0.0977454557996725,TRUE,"[E|C+E:C+C|E]","0.0140985901409859","Samples_017","CONTROL"
"[a] = X1|X217",1,NA,0.00293096664337822,TRUE,"[E|C]","0.281171882811719","Samples_017","CONTROL"
