"","Df","R.squared","Adj.R.squared","Testable","Component","Pvalue","STudy"
"[a+b+c] = X1+X214",2,0.0959776558323205,0.0850858203604207,TRUE,"[E|C+E:C+C|E]","0.001","Samples_014_A"
"[a] = X1|X214",1,NA,0.00787940808609788,TRUE,"[E|C]","0.12","Samples_014_A"
"[b]14",0,NA,0.0742520556252446,FALSE,"[E:C]","NA","Samples_014_A"
"[c] = X2|X114",1,NA,0.00295435664907817,TRUE,"[C|E]","0.196","Samples_014_A"
"[d] = Residuals14",NA,NA,0.914914179639579,FALSE,"Residuals","NA","Samples_014_A"
"[a+b] = X115",1,0.118250133699575,0.115177834513859,TRUE,"[E|C+E:C]","0.001","Samples_014_C"
"[b+c] = X215",1,0.031035995845971,0.0276598146468281,TRUE,"[E:C+C|E]","0.002","Samples_014_C"
"[a+b+c] = X1+X215",2,0.122232420961396,0.116094186142945,TRUE,"[E|C+E:C+C|E]","0.001","Samples_014_C"
"[a] = X1|X215",1,NA,0.0884343714961164,TRUE,"[E|C]","0.001","Samples_014_C"
"[b]15",0,NA,0.0267434630177426,FALSE,"[E:C]","NA","Samples_014_C"
"[c] = X2|X115",1,NA,0.000916351629085543,TRUE,"[C|E]","0.263","Samples_014_C"
"[d] = Residuals15",NA,NA,0.883905813857055,FALSE,"Residuals","NA","Samples_014_C"
"[a+b] = X116",1,0.0270573704265676,0.0240358094651595,TRUE,"[E|C+E:C]","0.003","Samples_014B"
"[b+c] = X216",1,0.0105279947081816,0.00745510028180962,TRUE,"[E:C+C|E]","0.063","Samples_014B"
"[a+b+c] = X1+X216",2,0.0272058664629432,0.021144843824083,TRUE,"[E|C+E:C+C|E]","0.009","Samples_014B"
"[a] = X1|X216",1,NA,0.0136897435422734,TRUE,"[E|C]","0.018","Samples_014B"
"[b]16",0,NA,0.0103460659228861,FALSE,"[E:C]","NA","Samples_014B"
"[c] = X2|X116",1,NA,-0.00289096564107649,TRUE,"[C|E]","0.849","Samples_014B"
"[d] = Residuals16",NA,NA,0.978855156175917,FALSE,"Residuals","NA","Samples_014B"
"[a+b] = X117",1,0.34668041207386,0.341190331503053,TRUE,"[E|C+E:C]","0.001","Samples_015"
"[b+c] = X217",1,0.0683413543215079,0.0605122900721088,TRUE,"[E:C+C|E]","0.004","Samples_015"
"[a+b+c] = X1+X217",2,0.354827464418568,0.343892336696849,TRUE,"[E|C+E:C+C|E]","0.001","Samples_015"
"[a] = X1|X217",1,NA,0.28338004662474,TRUE,"[E|C]","0.001","Samples_015"
"[b]17",0,NA,0.0578102848783127,FALSE,"[E:C]","NA","Samples_015"
"[c] = X2|X117",1,NA,0.00270200519379604,TRUE,"[C|E]","0.244","Samples_015"
"[d] = Residuals17",NA,NA,0.656107663303151,FALSE,"Residuals","NA","Samples_015"
"[a+b] = X118",1,0.106952877625563,0.10066381338349,TRUE,"[E|C+E:C]","0.001","Samples_016_1"
"[b+c] = X218",1,0.0713282937473377,0.0647883521540091,TRUE,"[E:C+C|E]","0.003","Samples_016_1"
"[a+b+c] = X1+X218",2,0.110401649873115,0.0977832335592583,TRUE,"[E|C+E:C+C|E]","0.001","Samples_016_1"
